distance_km,travel_time_min,transport_mode,cost_rs,traffic_level,weather_condition,temperature_c,co2_g
7.7,18,Two-Wheeler,38,Medium,Cold,25,1157.701308056872
3.1,7,Metro,12,High,Cold,38,194.20314150304674
15.0,54,Bus,45,Medium,Foggy,27,1691.4467163168586
10.1,20,Metro,40,Medium,Rainy,21,632.7263642518619
7.1,17,Two-Wheeler,35,Medium,Foggy,33,1067.490816519973
8.1,20,Metro,32,High,Cold,15,507.43401489505754
10.7,48,Bus,32,High,Sunny,24,1206.5653243060256
15.7,47,Car,125,High,Rainy,22,3934.179769803656
19.1,57,Car,152,High,Sunny,29,4786.167745429926
1.2,3,Metro,4,High,Rainy,35,75.1754096140826
9.0,18,Car,72,Low,Rainy,38,2255.262288422478
3.7,11,Two-Wheeler,18,High,Cold,35,556.2980311442112
6.5,19,Bus,19,Low,Foggy,11,732.9602437373054
18.5,44,Car,148,Medium,Rainy,24,4635.816926201761
6.9,11,Metro,27,Low,Rainy,30,432.25860528097496
18.3,37,Metro,73,Medium,Cold,25,1146.4249966147597
9.1,18,Car,72,Low,Sunny,40,2280.320758293839
5.1,15,Car,40,High,Rainy,35,1277.9819634394041
3.2,6,Two-Wheeler,16,Low,Foggy,14,481.12262153012864
14.1,28,Car,112,Low,Sunny,30,3533.2442518618823
15.0,54,Bus,45,Medium,Rainy,18,1691.4467163168586
3.2,9,Two-Wheeler,16,High,Sunny,31,481.12262153012864
17.3,77,Bus,51,High,Sunny,20,1950.8018794854436
3.3,14,Bus,9,High,Foggy,12,372.11827758970884
8.1,24,Car,64,High,Cold,37,2029.7360595802302
11.7,52,Bus,35,High,Foggy,24,1319.3284387271497
15.0,67,Bus,45,High,Sunny,36,1691.4467163168586
9.7,29,Bus,29,Low,Cold,26,1093.8022098849017
15.6,56,Bus,46,Medium,Rainy,27,1759.1045849695329
2.2,7,Bus,6,Medium,Foggy,19,248.0788517264726
4.6,11,Metro,18,High,Foggy,16,288.17240352064994
13.1,58,Bus,39,High,Rainy,35,1477.196798916723
12.7,57,Bus,38,High,Sunny,29,1432.0915531482735
14.0,36,Metro,56,High,Rainy,25,877.0464454976303
16.0,32,Two-Wheeler,80,Low,Cold,14,2405.613107650643
12.2,29,Two-Wheeler,61,Medium,Rainy,40,1834.2799945836152
5.3,15,Bus,15,Low,Foggy,26,597.6445064319566
7.3,21,Bus,21,Low,Foggy,32,823.1707352742045
2.1,8,Bicycle,0,Low,Sunny,29,0.0
2.5,45,Walk,0,High,Sunny,29,0.0
19.6,88,Bus,58,High,Foggy,38,2210.157042654029
2.8,8,Two-Wheeler,14,High,Cold,12,420.9822938388625
7.8,23,Car,62,High,Sunny,15,1954.5606499661476
2.9,52,Walk,0,High,Foggy,21,0.0
12.7,38,Car,101,High,Rainy,23,3182.42567366283
6.6,29,Bus,19,High,Sunny,14,744.2365551794177
13.7,49,Bus,41,Medium,Sunny,33,1544.8546675693974
17.9,30,Metro,71,Low,Foggy,21,1121.3665267433987
8.3,21,Metro,33,High,Foggy,21,519.963249830738
15.7,47,Bus,47,Low,Rainy,40,1770.3808964116452
10.4,46,Bus,31,High,Sunny,15,1172.7363899796885
6.4,23,Bus,19,Medium,Foggy,36,721.683932295193
1.4,20,Walk,0,Medium,Cold,13,0.0
14.7,25,Metro,58,Low,Cold,17,920.8987677725119
4.3,12,Bus,12,Low,Cold,38,484.88139201083277
10.5,21,Metro,42,Medium,Cold,19,657.7848341232228
5.4,12,Car,43,Medium,Rainy,13,1353.157373053487
15.9,47,Car,127,High,Cold,27,3984.296709546378
1.6,4,Two-Wheeler,8,High,Cold,23,240.56131076506432
19.7,59,Car,157,High,Sunny,28,4936.51856465809
14.0,24,Metro,56,Low,Rainy,20,877.0464454976303
13.2,39,Two-Wheeler,66,High,Foggy,19,1984.6308138117804
13.4,40,Bus,40,Low,Sunny,38,1511.0257332430604
11.5,51,Bus,34,High,Rainy,18,1296.7758158429249
6.8,20,Bus,20,Low,Foggy,32,766.7891780636426
9.2,27,Two-Wheeler,46,High,Foggy,14,1383.2275368991197
15.2,31,Metro,60,Medium,Foggy,22,952.2218551117129
7.4,14,Car,59,Low,Sunny,34,1854.3267704807042
10.1,24,Two-Wheeler,50,Medium,Foggy,23,1518.5432742044684
19.3,86,Bus,57,High,Foggy,22,2176.3281083276916
4.9,11,Two-Wheeler,24,Medium,Cold,11,736.7190142180095
13.5,34,Metro,54,High,Rainy,23,845.7233581584293
5.9,21,Bus,17,Medium,Foggy,12,665.3023750846311
9.6,23,Car,76,Medium,Sunny,19,2405.613107650643
8.5,17,Metro,34,Medium,Cold,34,532.4924847664184
15.3,39,Metro,61,High,Rainy,19,958.4864725795533
16.5,74,Bus,49,High,Foggy,10,1860.5913879485445
10.1,30,Car,80,High,Foggy,23,2530.9054570074477
5.8,17,Bus,17,Low,Rainy,17,654.0260636425186
16.0,32,Metro,64,Medium,Cold,26,1002.3387948544347
7.3,17,Car,58,Medium,Rainy,33,1829.2683006093432
18.3,65,Bus,54,Medium,Cold,24,2063.5649939065675
17.3,35,Metro,69,Medium,Cold,31,1083.7788219363576
10.5,18,Metro,42,Low,Cold,38,657.7848341232228
9.6,34,Bus,28,Medium,Foggy,20,1082.5258984427894
15.4,69,Bus,46,High,Cold,37,1736.551962085308
17.3,41,Car,138,Medium,Cold,22,4335.115287745431
10.8,18,Metro,43,Low,Cold,33,676.5786865267435
11.4,19,Metro,45,Low,Foggy,27,714.1663913337848
15.7,47,Bus,47,Low,Cold,14,1770.3808964116452
2.8,40,Walk,0,Medium,Sunny,32,0.0
3.1,11,Bus,9,Medium,Rainy,40,349.5656547054841
8.5,14,Metro,34,Low,Foggy,37,532.4924847664184
15.1,45,Car,120,High,Rainy,30,3783.828950575491
17.9,46,Metro,71,High,Rainy,39,1121.3665267433987
1.2,2,Two-Wheeler,6,Medium,Rainy,23,180.42098307379823
19.1,45,Car,152,Medium,Rainy,15,4786.167745429926
6.4,19,Two-Wheeler,32,High,Foggy,27,962.2452430602573
10.5,47,Bus,31,High,Rainy,30,1184.012701421801
3.9,9,Car,31,Medium,Rainy,30,977.2803249830738
13.2,22,Metro,52,Low,Foggy,26,826.9295057549086
7.1,14,Two-Wheeler,35,Low,Sunny,30,1067.490816519973
3.6,12,Bus,10,Medium,Sunny,10,405.94721191604606
2.1,10,Bicycle,0,Medium,Cold,39,0.0
13.9,27,Two-Wheeler,69,Low,Cold,39,2089.8763872714962
13.9,23,Metro,55,Low,Foggy,33,870.7818280297902
17.7,36,Metro,70,Medium,Cold,35,1108.8372918077184
10.4,17,Metro,41,Low,Sunny,16,651.5202166553826
4.7,9,Two-Wheeler,23,Low,Cold,34,706.6488503723764
17.6,63,Bus,52,Medium,Foggy,36,1984.6308138117809
17.8,36,Metro,71,Medium,Sunny,18,1115.1019092755587
14.3,29,Metro,57,Medium,Foggy,31,895.8402979011511
17.8,35,Two-Wheeler,89,Low,Rainy,11,2676.2445822613404
14.4,43,Bus,43,Low,Sunny,23,1623.7888476641842
16.8,75,Bus,50,High,Sunny,29,1894.4203222748815
13.9,62,Bus,41,High,Rainy,29,1567.4072904536222
14.4,28,Car,115,Low,Rainy,24,3608.419661475965
13.1,26,Metro,52,Medium,Sunny,17,820.6648882870684
8.5,17,Car,68,Low,Foggy,20,2129.9699390656738
11.4,19,Metro,45,Low,Foggy,20,714.1663913337848
7.9,23,Car,63,High,Sunny,22,1979.6191198375086
19.6,50,Metro,78,High,Cold,29,1227.8650236966826
10.3,21,Metro,41,Medium,Sunny,23,645.2555991875424
6.0,10,Metro,24,Low,Foggy,13,375.877048070413
19.6,33,Metro,78,Low,Foggy,33,1227.8650236966826
7.4,22,Bus,22,Low,Sunny,16,834.4470467163169
8.2,36,Bus,24,High,Foggy,24,924.6575382532159
6.0,27,Bus,18,High,Cold,10,676.5786865267435
11.6,34,Bus,34,Low,Sunny,27,1308.0521272850372
6.4,10,Metro,25,Low,Rainy,33,400.9355179417739
5.9,17,Bus,17,Low,Cold,33,665.3023750846311
3.2,11,Bus,9,Medium,Sunny,32,360.8419661475965
4.3,15,Bus,12,Medium,Sunny,36,484.88139201083277
12.7,25,Car,101,Low,Rainy,27,3182.42567366283
12.2,36,Two-Wheeler,61,High,Rainy,22,1834.2799945836152
2.1,6,Car,16,High,Rainy,13,526.2278672985782
10.0,45,Bus,30,High,Cold,28,1127.631144211239
16.8,60,Bus,50,Medium,Cold,31,1894.4203222748815
11.6,34,Bus,34,Low,Foggy,10,1308.0521272850372
9.8,19,Car,78,Low,Rainy,39,2455.730047393365
18.2,65,Bus,54,Medium,Cold,17,2052.2886824644547
8.0,24,Two-Wheeler,40,High,Cold,30,1202.8065538253215
10.5,27,Metro,42,High,Sunny,36,657.7848341232228
7.0,25,Bus,21,Medium,Foggy,15,789.3418009478673
11.9,35,Two-Wheeler,59,High,Rainy,37,1789.174748815166
11.3,19,Metro,45,Low,Sunny,16,707.9017738659445
15.5,46,Car,124,High,Rainy,11,3884.0628300609346
13.4,27,Metro,53,Medium,Rainy,37,839.458740690589
16.1,72,Bus,48,High,Cold,35,1815.486142180095
6.8,20,Two-Wheeler,34,High,Sunny,38,1022.3855707515232
1.1,13,Walk,0,Low,Sunny,27,0.0
11.3,40,Bus,33,Medium,Foggy,11,1274.2231929587
17.5,63,Bus,52,Medium,Foggy,22,1973.3545023696684
15.5,55,Bus,46,Medium,Rainy,16,1747.8282735274204
1.8,4,Two-Wheeler,9,Medium,Sunny,33,270.63147461069735
12.1,43,Bus,36,Medium,Cold,18,1364.4336844955992
4.9,22,Bus,14,High,Foggy,33,552.5392606635072
16.7,33,Car,133,Low,Rainy,32,4184.7644685172645
18.4,47,Metro,73,High,Cold,11,1152.6896140825997
13.4,60,Bus,40,High,Cold,37,1511.0257332430604
11.2,22,Car,89,Low,Sunny,26,2806.548625592417
13.4,26,Car,107,Low,Rainy,37,3357.834962762356
7.2,18,Metro,28,High,Sunny,28,451.0524576844956
9.5,16,Metro,38,Low,Foggy,35,595.1386594448206
12.0,43,Bus,36,Medium,Foggy,33,1353.157373053487
2.8,8,Car,22,High,Rainy,25,701.6371563981043
16.8,43,Metro,67,High,Cold,18,1052.4557345971564
17.3,29,Metro,69,Low,Foggy,13,1083.7788219363576
7.9,16,Metro,31,Medium,Sunny,29,494.90477995937715
13.7,61,Bus,41,High,Rainy,22,1544.8546675693974
13.1,26,Car,104,Low,Sunny,10,3282.6595531482735
14.6,65,Bus,43,High,Foggy,40,1646.341470548409
17.7,30,Metro,70,Low,Sunny,31,1108.8372918077184
7.7,15,Car,61,Low,Rainy,30,1929.5021800947868
4.1,18,Bus,12,High,Rainy,40,462.32876912660794
6.4,16,Metro,25,High,Rainy,19,400.9355179417739
12.7,32,Metro,50,High,Cold,26,795.6064184157075
19.7,59,Car,157,High,Sunny,30,4936.51856465809
1.8,3,Two-Wheeler,9,Low,Sunny,25,270.63147461069735
15.9,47,Car,127,High,Sunny,19,3984.296709546378
16.5,74,Bus,49,High,Cold,34,1860.5913879485445
18.5,31,Metro,74,Low,Cold,31,1158.9542315504402
10.8,38,Bus,32,Medium,Foggy,24,1217.8416357481383
16.8,40,Two-Wheeler,84,Medium,Cold,13,2525.893763033175
4.8,11,Two-Wheeler,24,Medium,Foggy,40,721.6839322951929
10.3,21,Metro,41,Medium,Sunny,29,645.2555991875424
9.0,32,Bus,27,Medium,Cold,12,1014.8680297901151
9.4,19,Metro,37,Medium,Foggy,23,588.8740419769804
14.8,44,Bus,44,Low,Foggy,21,1668.8940934326338
6.4,19,Car,51,High,Foggy,24,1603.7420717670957
4.6,9,Metro,18,Medium,Foggy,21,288.17240352064994
9.0,18,Metro,36,Medium,Sunny,25,563.8155721056195
9.6,28,Car,76,High,Cold,20,2405.613107650643
11.3,29,Metro,45,High,Sunny,35,707.9017738659445
12.7,26,Metro,50,Medium,Sunny,37,795.6064184157075
10.0,30,Car,80,High,Foggy,29,2505.8469871360867
10.4,31,Bus,31,Low,Rainy,26,1172.7363899796885
15.6,46,Bus,46,Low,Cold,12,1759.1045849695329
17.3,41,Car,138,Medium,Foggy,28,4335.115287745431
2.5,5,Two-Wheeler,12,Low,Foggy,29,375.87704807041297
10.1,45,Bus,30,High,Rainy,11,1138.9074556533515
12.2,31,Metro,48,High,Cold,31,764.2833310765064
5.5,16,Bus,16,Low,Cold,30,620.1971293161814
8.9,15,Metro,35,Low,Foggy,37,557.5509546377793
4.1,8,Two-Wheeler,20,Low,Foggy,35,616.4383588354773
4.6,11,Car,36,Medium,Rainy,10,1152.6896140825997
9.0,27,Bus,27,Low,Foggy,24,1014.8680297901151
6.2,12,Two-Wheeler,31,Low,Rainy,13,932.1750792146242
11.7,52,Bus,35,High,Rainy,15,1319.3284387271497
19.6,58,Bus,58,Low,Sunny,17,2210.157042654029
14.1,42,Car,112,High,Foggy,40,3533.2442518618823
14.6,25,Metro,58,Low,Foggy,30,914.6341503046716
3.5,8,Two-Wheeler,17,Medium,Foggy,29,526.2278672985782
19.2,49,Metro,76,High,Rainy,33,1202.8065538253215
6.3,18,Two-Wheeler,31,High,Foggy,21,947.2101611374407
9.6,28,Two-Wheeler,48,High,Sunny,30,1443.3678645903858
12.8,30,Two-Wheeler,64,Medium,Foggy,18,1924.4904861205146
6.5,15,Two-Wheeler,32,Medium,Cold,27,977.2803249830738
9.0,18,Metro,36,Medium,Cold,27,563.8155721056195
18.7,56,Bus,56,Low,Cold,12,2108.670239675017
17.8,80,Bus,53,High,Cold,36,2007.1834366960056
9.8,20,Metro,39,Medium,Foggy,27,613.9325118483413
5.7,17,Bus,17,Low,Foggy,33,642.7497522004063
14.4,43,Car,115,High,Cold,40,3608.419661475965
12.3,24,Car,98,Low,Cold,38,3082.191794177387
5.8,13,Car,46,Medium,Rainy,11,1453.3912525389303
17.1,29,Metro,68,Low,Cold,12,1071.2495870006771
17.2,34,Car,137,Low,Rainy,27,4310.056817874069
2.1,4,Car,16,Low,Rainy,20,526.2278672985782
18.5,31,Metro,74,Low,Foggy,37,1158.9542315504402
13.8,35,Metro,55,High,Cold,16,864.5172105619499
1.7,3,Two-Wheeler,8,Low,Cold,36,255.5963926878808
16.4,28,Metro,65,Low,Foggy,18,1027.3972647257954
14.4,64,Bus,43,High,Rainy,27,1623.7888476641842
4.0,18,Bus,12,High,Cold,31,451.0524576844956
16.6,59,Bus,49,Medium,Cold,14,1871.867699390657
5.1,13,Metro,20,High,Foggy,25,319.49549085985103
15.2,39,Metro,60,High,Foggy,10,952.2218551117129
10.5,31,Bus,31,Low,Foggy,31,1184.012701421801
3.0,9,Two-Wheeler,15,High,Foggy,11,451.0524576844956
10.2,20,Car,81,Low,Foggy,11,2555.9639268788083
14.5,29,Car,116,Low,Foggy,12,3633.478131347326
7.8,15,Two-Wheeler,39,Low,Foggy,29,1172.7363899796885
12.9,46,Bus,38,Medium,Cold,34,1454.6441760324983
5.6,11,Two-Wheeler,28,Low,Sunny,29,841.964587677725
1.6,23,Walk,0,Medium,Foggy,22,0.0
5.4,10,Car,43,Low,Sunny,39,1353.157373053487
1.5,3,Two-Wheeler,7,Medium,Foggy,13,225.5262288422478
7.4,33,Bus,22,High,Rainy,21,834.4470467163169
11.3,40,Bus,33,Medium,Cold,36,1274.2231929587
11.7,35,Bus,35,Low,Rainy,34,1319.3284387271497
10.4,37,Bus,31,Medium,Sunny,13,1172.7363899796885
12.4,24,Car,99,Low,Foggy,37,3107.250264048748
13.8,35,Metro,55,High,Rainy,23,864.5172105619499
1.1,5,Bicycle,0,Medium,Sunny,12,0.0
8.4,25,Two-Wheeler,42,High,Cold,30,1262.9468815165876
13.9,27,Car,111,Low,Cold,12,3483.1273121191607
9.6,28,Two-Wheeler,48,High,Rainy,40,1443.3678645903858
3.2,7,Two-Wheeler,16,Medium,Sunny,33,481.12262153012864
19.8,59,Bus,59,Low,Foggy,16,2232.7096655382534
1.8,10,Bicycle,0,High,Foggy,39,0.0
6.7,20,Two-Wheeler,33,High,Foggy,22,1007.3504888287068
19.2,32,Metro,76,Low,Rainy,25,1202.8065538253215
10.5,47,Bus,31,High,Foggy,40,1184.012701421801
17.2,77,Bus,51,High,Sunny,38,1939.525568043331
2.7,10,Bicycle,0,Low,Cold,13,0.0
1.4,25,Walk,0,High,Cold,23,0.0
7.9,13,Metro,31,Low,Cold,27,494.90477995937715
17.1,35,Metro,68,Medium,Cold,30,1071.2495870006771
19.0,57,Bus,57,Low,Foggy,12,2142.4991740013543
9.8,25,Metro,39,High,Foggy,19,613.9325118483413
8.9,26,Two-Wheeler,44,High,Sunny,29,1338.1222911306702
13.4,40,Bus,40,Low,Cold,28,1511.0257332430604
9.8,20,Metro,39,Medium,Rainy,36,613.9325118483413
8.7,22,Metro,34,High,Foggy,18,545.0217197020988
19.2,46,Car,153,Medium,Sunny,39,4811.226215301286
10.3,26,Metro,41,High,Sunny,33,645.2555991875424
11.1,33,Bus,33,Low,Foggy,20,1251.6705700744753
16.6,39,Car,132,Medium,Rainy,21,4159.705998645904
8.9,32,Bus,26,Medium,Sunny,30,1003.5917183480028
13.9,28,Metro,55,Medium,Foggy,40,870.7818280297902
9.3,19,Metro,37,Medium,Rainy,40,582.6094245091402
2.6,11,Bus,7,High,Rainy,25,293.1840974949221
4.3,11,Metro,17,High,Sunny,20,269.3785511171293
16.7,42,Metro,66,High,Cold,24,1046.1911171293161
11.5,19,Metro,46,Low,Foggy,16,720.4310088016249
8.7,17,Metro,34,Medium,Foggy,36,545.0217197020988
18.7,38,Metro,74,Medium,Foggy,31,1171.4834664861205
6.9,20,Two-Wheeler,34,High,Cold,36,1037.4206526743399
11.0,33,Two-Wheeler,55,High,Sunny,25,1653.859011509817
16.1,72,Bus,48,High,Foggy,30,1815.486142180095
3.1,6,Two-Wheeler,15,Low,Foggy,11,466.0875396073121
2.0,6,Car,16,High,Rainy,16,501.16939742721735
11.0,39,Bus,33,Medium,Rainy,26,1240.3942586323628
4.1,7,Metro,16,Low,Cold,12,256.84931618144884
17.2,41,Car,137,Medium,Foggy,21,4310.056817874069
17.9,64,Bus,53,Medium,Cold,25,2018.4597481381177
3.6,12,Bus,10,Medium,Cold,39,405.94721191604606
15.1,54,Bus,45,Medium,Foggy,31,1702.7230277589708
16.4,32,Car,131,Low,Foggy,15,4109.5890589031815
9.2,22,Two-Wheeler,46,Medium,Sunny,15,1383.2275368991197
4.7,14,Car,37,High,Sunny,30,1177.7480839539608
11.5,34,Car,92,High,Sunny,16,2881.7240352064996
5.5,11,Car,44,Low,Foggy,34,1378.2158429248477
17.4,52,Bus,52,Low,Sunny,21,1962.0781909275556
11.6,23,Two-Wheeler,58,Low,Sunny,13,1744.0695030467161
6.7,13,Two-Wheeler,33,Low,Sunny,39,1007.3504888287068
10.0,17,Metro,40,Low,Foggy,36,626.4617467840217
5.5,16,Two-Wheeler,27,High,Foggy,30,826.9295057549085
12.2,20,Metro,48,Low,Foggy,24,764.2833310765064
8.0,28,Bus,24,Medium,Sunny,20,902.1049153689912
9.2,18,Metro,36,Medium,Foggy,39,576.3448070412999
19.1,45,Two-Wheeler,95,Medium,Rainy,23,2871.7006472579556
2.1,6,Two-Wheeler,10,High,Foggy,35,315.7367203791469
10.6,47,Bus,31,High,Rainy,40,1195.2890128639133
5.3,10,Metro,21,Medium,Cold,14,332.0247257955315
8.8,18,Metro,35,Medium,Cold,32,551.2863371699391
14.1,28,Car,112,Low,Rainy,36,3533.2442518618823
17.0,61,Bus,51,Medium,Cold,31,1916.9729451591063
15.9,40,Metro,63,High,Cold,12,996.0741773865946
16.4,39,Car,131,Medium,Foggy,37,4109.5890589031815
2.6,7,Two-Wheeler,13,High,Rainy,24,390.91212999322954
15.1,45,Bus,45,Low,Sunny,27,1702.7230277589708
13.0,33,Metro,52,High,Cold,38,814.4002708192282
8.8,22,Metro,35,High,Rainy,30,551.2863371699391
14.1,24,Metro,56,Low,Cold,23,883.3110629654706
10.5,27,Metro,42,High,Sunny,29,657.7848341232228
10.5,47,Bus,31,High,Sunny,28,1184.012701421801
11.1,33,Car,88,High,Sunny,15,2781.490155721056
19.3,38,Two-Wheeler,96,Low,Sunny,11,2901.770811103588
12.3,21,Metro,49,Low,Sunny,14,770.5479485443467
1.3,6,Bicycle,0,Medium,Foggy,29,0.0
17.4,35,Metro,69,Medium,Foggy,33,1090.0434394041977
15.8,32,Metro,63,Medium,Cold,26,989.8095599187543
13.4,34,Metro,53,High,Rainy,28,839.458740690589
11.9,20,Metro,47,Low,Foggy,27,745.4894786729858
19.6,70,Bus,58,Medium,Rainy,15,2210.157042654029
1.5,7,Bicycle,0,Medium,Cold,38,0.0
16.1,48,Car,128,High,Foggy,23,4034.4136492891
12.8,32,Metro,51,High,Sunny,40,801.8710358835478
7.7,15,Metro,30,Medium,Foggy,25,482.3755450236967
9.5,16,Metro,38,Low,Cold,10,595.1386594448206
3.3,14,Bus,9,High,Sunny,36,372.11827758970884
2.9,34,Walk,0,Low,Foggy,12,0.0
14.7,52,Bus,44,Medium,Rainy,28,1657.6177819905213
5.5,11,Two-Wheeler,27,Low,Foggy,16,826.9295057549085
18.1,81,Bus,54,High,Cold,40,2041.0123710223427
14.5,34,Car,116,Medium,Rainy,33,3633.478131347326
5.7,9,Metro,22,Low,Sunny,32,357.0831956668924
8.9,17,Car,71,Low,Sunny,12,2230.2038185511174
18.4,55,Bus,55,Low,Foggy,11,2074.8413053486797
18.5,55,Bus,55,Low,Foggy,13,2086.117616790792
13.7,41,Bus,41,Low,Cold,25,1544.8546675693974
20.0,90,Bus,60,High,Sunny,28,2255.262288422478
17.3,44,Metro,69,High,Foggy,37,1083.7788219363576
6.8,16,Two-Wheeler,34,Medium,Foggy,27,1022.3855707515232
10.9,49,Bus,32,High,Cold,28,1229.1179471902506
16.1,41,Metro,64,High,Cold,16,1008.603412322275
6.1,12,Metro,24,Medium,Rainy,13,382.1416655382532
5.6,11,Car,44,Low,Rainy,38,1403.2743127962085
1.9,7,Bicycle,0,Low,Foggy,32,0.0
5.6,20,Bus,16,Medium,Foggy,37,631.4734407582938
5.0,15,Two-Wheeler,25,High,Sunny,26,751.7540961408259
17.6,63,Bus,52,Medium,Sunny,20,1984.6308138117809
15.5,46,Two-Wheeler,77,High,Rainy,20,2330.4376980365605
14.9,53,Bus,44,Medium,Sunny,33,1680.1704048747463
15.5,26,Metro,62,Low,Sunny,12,971.0157075152337
13.8,41,Two-Wheeler,69,High,Rainy,38,2074.8413053486797
17.9,53,Two-Wheeler,89,High,Foggy,38,2691.279664184157
19.3,46,Car,154,Medium,Rainy,17,4836.284685172647
6.1,21,Bus,18,Medium,Cold,23,687.8549979688557
2.8,11,Bicycle,0,Low,Sunny,31,0.0
17.0,29,Metro,68,Low,Foggy,31,1064.9849695328369
7.6,22,Bus,22,Low,Foggy,17,856.9996696005417
19.4,46,Car,155,Medium,Sunny,31,4861.343155044008
15.9,31,Car,127,Low,Sunny,12,3984.296709546378
7.5,27,Bus,22,Medium,Sunny,30,845.7233581584293
6.8,13,Two-Wheeler,34,Low,Foggy,27,1022.3855707515232
